text,category,priority
i am calm but i need to report that my housing application was deleted from the system and the room selection starts in 1 hour.,Housing,High
"I am being prevented from taking my final because my tuition shows as unpaid, but I have a receipt showing a zero balance.",Finance,High
vpn connection unstable at times,Technical,Medium
"Hi there, I am wondering if the university offers any assistance for first-generation college students?",Admissions,Low
fee payment declined and enrollment is blocked,Finance,High
i accidentally uploaded my passport to the public student forum instead of the admissions portal. please delete it immediately!!,Technical,High
tuition payment not reflecting and deadline is tomorrow,Finance,High
can I update application details later?,Admissions,Low
I found a wallet in the cafeteria with no ID. I've left it at the main reception desk.,Administration,Low
my password for the registration portal isn't working and registration for seniors closes in 20 minutes.,Technical,High
"There's a strange smell coming from the hallway vent near room 210. It's not smoke, but it's very unpleasant.",Housing,Medium
The chair in my dorm room is uncomfortable.,Housing,Low
I have been trying to reach the admissions office for a week regarding my transcript evaluation and I'm worried it won't be ready for registration tomorrow.,Admissions,High
academic syllabus update clarification,Academic,Medium
The smoke alarm in the dorm hallway is going off and I smell smoke. Please send someone immediately!,Housing,High
OMGGGGG i forgot to check my library due dates i am so stressed is the library open until midnight tonight????,Library,Low
I am unable to access my online course in Canvas. It says the course is locked even though it started yesterday.,Technical,Medium
WHATS THE LATE FEE FOR A BOOK??? I NEED TO KNOW RIGHT NOW PLS PLS PLS,Library,Low
exam seating arrangement not visible yet,Academic,Medium
hey can u help me find the contact info for the biology department head? i have a question about my grades.,Academic,Medium
i need a replacement student ID card because the magnetic strip on my current one has stopped working.,Administration,Medium
The registrar's office has misplaced my paper for the internship credit and the deadline for the registrar to approve it is at noon today.,Academic,High
my student email account has been suspended for 'suspicious activity' but i have a take-home exam in my inbox that i must submit in 3 hours.,Technical,High
I noticed that the printer in the study lounge is out of toner. Can someone please come and replace the ink cartridge today?,Technical,Low
the key for my mail locker is bent and i can barely get it in. can i get a replacement key soon?,Administration,Medium
i'm havign trouble with the library's citation manager it won't let me export my bibliography in mla format for my paper due tonight.,Library,Medium
i would like to report a broken chair in the library. it is not urgent but someone might fall.,Library,Medium
my student id card is not working at any of the university gates and i am currently stuck outside the campus at midnight.,Technical,High
"i am a scholarship student and my status is listed as 'withdrawn' by mistake. if this is not fixed by noon, i will be ineligible for my sports season.",Academic,High
"To whom it may concern, I have an urgent error on my bill. A $5,000 charge was added today, and I have a registration window at 8 AM tomorrow.",Finance,High
"The student account portal says I owe $0, but I have a financial hold. I need this cleared to add my final credits tonight.",Finance,High
"Does the university provide any discounted software for graphic design students, specifically Adobe Creative Cloud?",Technical,Low
i forgot my password for the tuition portal and my payment is due in 3 hours. i am calm but i need a reset right away.,Finance,High
system crash occurred mid upload before deadline,Technical,High
how do i change the emergency contact listed on my student file? i want to update it to my mother. no rush.,Administration,Low
I need help with my application for a student grant for research in the computer and natural sciences.,Academic,Low
is there any way to get a copy of my unofficial transcript for my internship application next month? thx.,Academic,Medium
request info on academic mentorship program,Academic,Low
there is a swarm of bees outside my window in the dorm. i am terrified of bees. please do something!!,Housing,Medium
"The system crashed while I was clicking 'Submit' on my final term paper. The portal now says the deadline has passed. Please check the logs, I had it ready on time.",Technical,High
i'm interested in the study abroad program. who should i talk to?,Academic,Low
There is a strange buzzing sound coming from the overhead light in my dorm room.,Housing,Low
